tokens,IOB_tag
"['VSP', 'Name', ';', 'date', 'of', 'submission', ';']","[3, 4, 0, 3, 4, 4, 0]"
"['they', '.', 'efficiently', 'and', 'instrument', 'telescope', 'use', 'to', 'do', 'to', 'have', 'they', 'what', 'and', 'system', 'safety', ';']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['A1', '.', 'process', 'checkout', 'order', 'complete', 'flag', 'with', 'cookie', 'append', 'System', ';', 'Customer', 'for', 'the', 'web', 'during']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
"['this', 'must', 'be', 'capable', 'of', 'deal', 'both', 'with', 'the', 'LAN', 'the', 'of', 'majority', 'of', 'instrument', ',', 'the', 'Gemini', '8', 'm', 'Telescopes', 'system', 'have', 'internal', 'communication', 'need', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
"['some', 'user', 'may', 'have', 'difficulty', 'in', 'perceive', 'certain', '.', 'overview', 'information', 'of', ',', 'take', 'into', 'account', 'human', 'capability', 'and', 'restriction', 'convey', 'in', 'colour', ',', 'and', 'not', 'as', 'the', 'only', 'mean', 'perceive', 'or', ',', 'page', 'element', 'on', 'a', 'page', ',', 'if', 'the', 'distance', 'content', 'between', 'block', 'of', 'information', 'display', 'become', 'too', 'large', ',', 'the', 'rapid', 'different', 'organize', 'not', 'impair', 'the', 'visual', 'skimming', 'of', 'the', 'page', 'the', '.', 'white', 'space', 'be', 'an', 'important', 'mean', 'of', 'visually']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['it', 'shall', 'be', 'possible', 'for', 'the', 'Supervision', 'Partial', 'movement', '.', 'the', 'trainborne', 'equipment', 'be', 'not', 'active', 'until', 'any', ',', 'when', 'Shunting', 'be', 'select', 'or', 'long', 'Supervision', 'Full', 'in']","[0, 0, 0, 0, 0, 0, 2, 3, 2, 0, 0, 1, 2, 0, 0, 3, 0, 0, 0, 0, 3, 0, 0, 0, 0, 2, 1, 0]"
"['at', 'examine', 'be', 'system', 'version', 'control', 'system', '.']","[0, 0, 0, 0, 0, 0, 0, 0]"
"['it', '.', 'information', 'account', 'view', 'and', ',', 'the', 'show', 'result', 'the', 'cart', 'virtual', 'a', 'in', 'reserve', 'be', 'can', 'until', 'inventory', 'from']","[0, 0, 4, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
"['the', '.', 'system', 'locking', 'electronic', ';', 'circuit', 'telecommunications', ';', 'supply', 'power', 'of', 'the', 'EIRENE', 'mobile', '.', ']', '45001', 'en', '[', 'with', 'accordance', 'M', 'in', 'a', 'at', 'test', 'be', 'shall', 'unit', 'radio', 'facility']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 1]"
"['Replication', 'Scheme', ':', 'information', 'that', 'precisely', 'identify', 'db', ',', 'or', 'partition', 'of', 'db', ',', 'to', 'be', ')', 'copy', 'management', 'distribute', 'do', 'not', 'yet', 'define', 'interoperability', 'between', 'server', 'database', '(', 'i.e.', 'it', 'be', 'not', 'yet', 'a', 'standard', 'for', 'database', '-', 'and/or', ',', 'that', 'organize', 'and', 'maintain', 'spatial', 'datum', '(', 'i.e.', 'datum', 'with', 'graphical', 'attribute', ')', 'in', 'term', 'of', 'type', 'system', 'distribute', 'information', ':', 'replication', 'schedule', ',', 'and', 'master', '/', 'remote', 'site', 'that', 'be', 'to', 'receive', 'the', 'copy', ';', 'Spatial', 'DBMS']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
