tokens,IOB_tag
"['.', 'HTTPS', 'with', 'browser', 'web', 'button', 'account', 'customer', 'new', 'sdram', 'MB', '128', ';', 'chip', 'ram', 'Flash', ';', 'GB', ':', 'requirement', 'hardware', 'follow', 'the', 'to', 'adhere', '4', 'Intel', 'XScale', 'PXA270', 'a', 'Register']","['O', 'O', 'O', 'O', 'O', 'O', 'I-class', 'B-class', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['.', 'Requirements', 'entity', 'with', 'connection', 'search', 'it']","['O', 'O', 'I-class', 'O', 'I-class', 'O', 'O']"
"['show', 'be', 'cable', 'requirement', 'to', 'the', 'base', 'facility', ';', 'the']","['O', 'O', 'O', 'O', 'O', 'O', 'B-class', 'I-class', 'O', 'O']"
"['client', 'may', 'honour', 'the', 'voucher', 'at', 'place', 'any', 'provider', 'of', 'his', 'choice', '.', 'std']","['B-class', 'O', 'O', 'O', 'B-class', 'O', 'B-attr', 'O', 'B-class', 'O', 'O', 'O', 'O', 'O']"
"['operational', 'be', 'for', 'apply', 'throughout', '.', 'this']","['B-attr', 'O', 'O', 'O', 'O', 'O', 'O']"
"['.', 'sequencer', 'automatic', 'an', 'via', 'to', '(', 'as', 'define', 'provide', 'be', 'shall', 'interaction', 'of', 'degree', 'certain', 'a']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
['not'],['O']
"['division', 'of', 'sub', '-', 'module', 'be', 'purely', 'base', 'on', 'fill', 'MSIU', 'the', 'form', 'claim', 'form', ';', 'the', 'thumb', 'print', 'will', 'also', 'be', 'place', 'on', 'completion', 'of', 'the', 'the', ';', 'the', 'VSP', 'will', 'send', 'the', 'collect', 'claim', 'form', 'monthly', 'and', 'send', 'it', 'service', 'to', 'stick', 'be', ';', 'on', 'completion', 'of', 'the', 'service', 'the', 'patient', 'will', 'provide', 'the', 'voucher', 'accord', 'to', 'the', 'visit', 'type', 'and', 'patient', 'type', '(', 'client', 'or', 'partner', ')', ',', 'the', 'voucher', 'will', 'claim', 'the', 'creation', 'of', 'would', 'be', 'list', 'from', 'their', 'own', 'master', 'and', 'should', 'select', 'the', 'detail', 'base', 'Body', 'on', 'VSP', '.', 'if']","['O', 'O', 'B-class', 'I-class', 'I-class', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-class', 'B-class', 'I-class', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-class', 'I-class', 'O', 'O', 'O', 'O', 'B-class', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-class', 'O', 'B-class', 'O', 'O', 'O', 'B-class', 'O', 'O', 'O', 'B-attr', 'I-attr', 'O', 'B-attr', 'I-attr', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-class', 'O', 'B-class', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-attr', 'O', 'O', 'O', 'O', 'O', 'O', 'I-attr', 'O', 'B-class', 'O', 'O']"
"['system', 'should', 'provide', 'information', 'in', 'the', 'form', 'report', 'to', 'confuse', 'the', 'of', 'displaying', 'not', 'need', 'intervention', 'from', 'outside', 'user', 'other', 'than', 'the', 'supervisor', 'to', 'maintain', 'operation', 'of', 'themas', '.', 'the']","['B-class', 'O', 'O', 'O', 'O', 'O', 'O', 'B-class', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-class', 'O', 'O', 'O', 'B-class', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['.', 'System', 'Weborder', ';', 'Customer', 'cart', ';', ';', 'or', 'the', 'the', 'to', 'detail', 'login', 'resend', 'to', 'Customer', 'email', 'the', 'system']","['O', 'O', 'O', 'O', 'B-class', 'B-class', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-class', 'O', 'O', 'O']"
