tokens,tags
"['Administrator', 'clicks', 'the', 'button', 'or', 'link', 'to', '""', 'Install', 'Plug', '-', 'ins', '""']","[1, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 0]"
"['Logout', 'the', 'Sales', 'Person', 'account', 'on', 'the', 'system', '.']","[3, 0, 1, 2, 0, 0, 0, 0, 0]"
"['The', 'system', 'shall', 'follow', 'HIPAA', 'compliance', 'capabilities', 'in', 'new', 'functionality', 'introduced', 'to', 'the', 'system', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Subsystems', 'must', 'notify', 'the', 'user', 'when', 'faults', 'occur', '.', 'This', 'notiﬁcation', 'must', 'be', 'speciﬁc', 'as', 'to', 'origin', 'and', 'problem', '.', 'The', 'notiﬁcation', 'must', 'also', 'be', 'capable', 'of', 'being', 'electronically', 'logged', '.', 'It', 'may', 'also', 'prove', 'useful', 'to', 'have', 'multiple', 'levels', 'of', 'fault', 'notiﬁcation', 'such', 'as', 'detailed', ',', 'verbose', ',', 'short', ',', 'etc', '.', 'to', 'aid', 'in', 'tracking', 'down', 'problems', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Avoiding', 'opening', 'unnecessary', 'windows', ':', 'Additional', 'windows', 'such', 'as', 'new', 'browser', 'windows', 'or', 'pop', '-', 'up', 'windows', 'should', 'only', 'be', 'opened', 'if', 'this', 'supports', 'the', 'user', '’s', 'task', '.', 'Opening', 'new', 'windows', 'can', 'distract', ',', 'confuse', 'or', 'impede', 'users', 'for', 'a', 'variety', 'of', 'reasons', '.', 'They', 'can', 'superimpose', 'the', 'primary', 'window', ',', 'hiding', 'relevant', 'information', '.', 'They', 'could', 'make', 'it', 'cognitively', 'more', 'difficult', 'to', 'understand', 'the', 'navigation', 'structure', 'with', 'negative', 'effects', 'on', 'both', 'usability', 'and', 'accessibility', '.', 'They', 'also', 'require', 'additional', 'user', 'actions', 'for', 'closing', 'unwanted', 'windows', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['The', 'Operational', 'radio', 'shall', 'cope', 'with', 'rapid', 'temperature', 'fluctuations', 'of', 'up', 'to', '3', '°', 'C', '/', 'second', '.', '(', 'M', ')']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['This', 'is', 'an', 'important', 'issue', 'which', 'will', 'affect', 'interoperability', 'and', 'the', 'ability', 'to', 'use', 'public', 'network', 'services', '.', 'There', 'are', 'specific', 'features', 'of', 'individual', 'railways', 'which', 'make', 'it', 'difficult', 'to', 'develop', 'a', 'concise', 'and', 'universally', 'acceptable', 'system', 'within', 'GSM', '.', '(', 'I', ')']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Customer', 'clicks', 'the', 'button', 'or', 'link', 'to', 'initiate', 'the', 'process', 'to', 'edit', 'the', 'account', '.', '2', '.', 'System', 'displays', 'the', 'account', 'home', 'page', 'to', 'the', 'Customer', ';', 'Customer', 'clicks', 'the', 'button', 'or', 'link', 'in', 'order', 'to', 'edit', 'the', 'account', 'details', ';', 'System', 'verifies', 'the', 'changes', ';', 'System', 'stores', 'new', 'account', 'information', '.']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['The', 'system', 'should', 'be', 'extensible', 'to', 'provide', 'access', 'to', 'the', 'interfaces', 'through', 'PDA', '’s', 'and', 'mobile', 'data', 'terminals']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['There', 'must', 'be', 'a', 'means', 'to', 'update', 'the', 'case', 'diagnosis', 'either', 'manually', 'or', 'automatically', 'if', 'the', 'case', 'definition', 'changes', 'during', 'an', 'event', '.']","[0, 0, 0, 0, 0, 0, 3, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Upon', 'an', 'appropriate', 'MMI', 'action', ',', 'the', 'radio', 'shall', 'initiate', 'a', 'call', 'to', 'the', 'appropriate', 'controller', 'with', '‘', 'Railway', 'operation', '’', 'priority', '(', 'see', 'section', '10.2', ')', '.', '(', 'M', ')']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Muting', 'and', 'unmuting', 'shall', 'be', 'in', 'line', 'with', '[', 'EN', '301', '515', ',', 'Index', '[', '4', ']', ']', '.', '(', 'M', ')']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['The', 'system', 'shall', 'validate', 'credit', 'cards', 'against', 'fraud', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Heating', 'Unit', 'Signal', 'Cooling', 'Unit', 'Signal', 'Unit', 'Status', 'System', 'Events']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Where', 'text', 'messaging', 'is', 'implemented', 'in', 'the', 'network', ',', 'the', 'Short', 'Message', 'Service', '(', 'SMS', ')', 'shall', 'be', 'used', '.', '(', 'M', ')']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
